policy_name,num_clusters,num_steps,clustering_method,num_act_apply,hardcode_start_goal_states,full_replan,title,metric,mean,median,std_dev,min,percentile_25,percentile_75,max,directory,filename
random_policy,80,32000,kmeans,20,True,False,Steps,steps,376.14,212.0,304.1568023240644,112.0,159.5,470.25,1000.0,results/dbg0_clust80_steps32000_kmeans_act20_hTrue_frFalse,random_policy_steps.json
final_policy,80,32000,kmeans,20,True,False,Returns,return,-63.9263865914942,-61.85034084314049,43.57267605223546,-158.42096515803766,-93.27142716625451,-31.235653358312312,17.567700684160123,results/dbg0_clust80_steps32000_kmeans_act20_hTrue_frFalse,final_policy_return.json
random_policy,80,32000,kmeans,20,True,False,Returns,return,-491.3498742464211,-245.6123063350991,691.0692046118643,-3556.3799165508017,-647.5521557702216,-126.83768162998743,29.29743093958629,results/dbg0_clust80_steps32000_kmeans_act20_hTrue_frFalse,random_policy_return.json
final_policy,80,32000,kmeans,20,True,False,Steps,steps,819.3,1000.0,308.69974084861167,153.0,817.0,1000.0,1000.0,results/dbg0_clust80_steps32000_kmeans_act20_hTrue_frFalse,final_policy_steps.json
random_policy,80,32000,kmeans,10,True,True,Steps,steps,379.02,266.5,301.6497631359919,118.0,163.0,439.5,1000.0,results/dbg0_clust80_steps32000_kmeans_act10_hTrue_frTrue,random_policy_steps.json
final_policy,80,32000,kmeans,10,True,True,Returns,return,36.50115696078646,-3.301827193481337,137.74152426918033,-186.9168873656588,-84.04288543363687,133.18409833352342,274.66394469415263,results/dbg0_clust80_steps32000_kmeans_act10_hTrue_frTrue,final_policy_return.json
random_policy,80,32000,kmeans,10,True,True,Returns,return,-499.85182169743274,-256.1679839205768,673.0712804444636,-3608.2736572100994,-608.7934261812139,-132.03611444340942,21.78263364792592,results/dbg0_clust80_steps32000_kmeans_act10_hTrue_frTrue,random_policy_return.json
final_policy,80,32000,kmeans,10,True,True,Steps,steps,567.5,611.0,340.1469241372028,116.0,171.25,973.75,1000.0,results/dbg0_clust80_steps32000_kmeans_act10_hTrue_frTrue,final_policy_steps.json
random_policy,10,8000,kmeans,20,True,True,Steps,steps,339.76,203.5,286.79850487755334,122.0,154.75,358.0,1000.0,results/dbg0_clust10_steps8000_kmeans_act20_hTrue_frTrue,random_policy_steps.json
final_policy,10,8000,kmeans,20,True,True,Returns,return,11.244094918712312,-17.387246414986386,96.230535326798,-85.091815346349,-53.78026765723585,19.36700042425245,286.17099047405577,results/dbg0_clust10_steps8000_kmeans_act20_hTrue_frTrue,final_policy_return.json
random_policy,10,8000,kmeans,20,True,True,Returns,return,-488.8417487358745,-231.70288291100738,709.1376565162087,-3700.879514153889,-483.42830003220894,-129.1371729215369,38.11910686665453,results/dbg0_clust10_steps8000_kmeans_act20_hTrue_frTrue,random_policy_return.json
final_policy,10,8000,kmeans,20,True,True,Steps,steps,367.42,299.0,254.1609010056425,116.0,170.0,439.75,1000.0,results/dbg0_clust10_steps8000_kmeans_act20_hTrue_frTrue,final_policy_steps.json
random_policy,10,8000,kmeans,10,True,False,Steps,steps,420.38,286.5,310.9143219602468,118.0,176.25,563.0,1000.0,results/dbg0_clust10_steps8000_kmeans_act10_hTrue_frFalse,random_policy_steps.json
final_policy,10,8000,kmeans,10,True,False,Returns,return,-88.04079964624485,-84.52103237462171,83.78016514489782,-243.38739648458485,-141.11192954322314,-46.53444622110756,285.11750327831476,results/dbg0_clust10_steps8000_kmeans_act10_hTrue_frFalse,final_policy_return.json
random_policy,10,8000,kmeans,10,True,False,Returns,return,-549.1295020148618,-305.2532047842117,521.2185545574778,-2261.1117920860834,-954.148145716259,-127.61042837387369,26.205873304637336,results/dbg0_clust10_steps8000_kmeans_act10_hTrue_frFalse,random_policy_return.json
final_policy,10,8000,kmeans,10,True,False,Steps,steps,321.22,262.0,212.4160342347065,72.0,158.0,422.5,1000.0,results/dbg0_clust10_steps8000_kmeans_act10_hTrue_frFalse,final_policy_steps.json
random_policy,80,16000,kmeans,20,True,True,Steps,steps,399.22,236.5,321.763285040416,95.0,146.0,620.0,1000.0,results/dbg0_clust80_steps16000_kmeans_act20_hTrue_frTrue,random_policy_steps.json
final_policy,80,16000,kmeans,20,True,True,Returns,return,-141.11302693267592,-139.2389639725577,39.638409738318,-217.088349426172,-175.29119614536694,-117.57717639536507,-36.282516778269084,results/dbg0_clust80_steps16000_kmeans_act20_hTrue_frTrue,final_policy_return.json
random_policy,80,16000,kmeans,20,True,True,Returns,return,-451.02998195803093,-226.04678085758258,547.4104191246074,-2246.164175277255,-503.4329815603081,-109.50422741601196,14.325629374788363,results/dbg0_clust80_steps16000_kmeans_act20_hTrue_frTrue,random_policy_return.json
final_policy,80,16000,kmeans,20,True,True,Steps,steps,200.0,177.5,109.94689627270067,115.0,138.25,224.0,683.0,results/dbg0_clust80_steps16000_kmeans_act20_hTrue_frTrue,final_policy_steps.json
random_policy,10,32000,kmeans,20,True,False,Steps,steps,387.82,210.0,319.1898300384898,102.0,142.25,491.0,1000.0,results/dbg0_clust10_steps32000_kmeans_act20_hTrue_frFalse,random_policy_steps.json
final_policy,10,32000,kmeans,20,True,False,Returns,return,-132.2007646334356,-128.27487003439524,71.84708646144435,-263.80118464674763,-189.0142942867355,-79.6678098633206,56.15601928717402,results/dbg0_clust10_steps32000_kmeans_act20_hTrue_frFalse,final_policy_return.json
random_policy,10,32000,kmeans,20,True,False,Returns,return,-502.68483897304037,-236.65134966832886,634.6108956517558,-3196.943426079124,-733.350388632153,-96.19240206025029,34.67148172922984,results/dbg0_clust10_steps32000_kmeans_act20_hTrue_frFalse,random_policy_return.json
final_policy,10,32000,kmeans,20,True,False,Steps,steps,493.96,400.5,271.89828686477597,115.0,333.75,680.25,1000.0,results/dbg0_clust10_steps32000_kmeans_act20_hTrue_frFalse,final_policy_steps.json
random_policy,40,32000,kmeans,10,True,False,Steps,steps,422.92,268.5,323.70652387618014,112.0,172.75,692.25,1000.0,results/dbg0_clust40_steps32000_kmeans_act10_hTrue_frFalse,random_policy_steps.json
final_policy,40,32000,kmeans,10,True,False,Returns,return,-122.53162113992747,-132.1462649506339,89.41862181906994,-262.73418861575544,-182.26548810449196,-84.85162750554257,232.80508723743137,results/dbg0_clust40_steps32000_kmeans_act10_hTrue_frFalse,final_policy_return.json
random_policy,40,32000,kmeans,10,True,False,Returns,return,-582.2339679680882,-242.28822433992065,775.4811110662205,-3156.863401553865,-477.9568888147236,-120.65497226514617,49.700345180633576,results/dbg0_clust40_steps32000_kmeans_act10_hTrue_frFalse,random_policy_return.json
final_policy,40,32000,kmeans,10,True,False,Steps,steps,705.98,816.5,314.5035764502528,113.0,405.0,1000.0,1000.0,results/dbg0_clust40_steps32000_kmeans_act10_hTrue_frFalse,final_policy_steps.json
random_policy,40,16000,kmeans,10,True,False,Steps,steps,416.7,261.5,326.7402791208944,102.0,177.25,568.0,1000.0,results/dbg0_clust40_steps16000_kmeans_act10_hTrue_frFalse,random_policy_steps.json
final_policy,40,16000,kmeans,10,True,False,Returns,return,-41.17715717560395,-50.047662512492316,56.89446297859509,-144.46359392415033,-82.00236045103348,-13.669480207294708,86.79324140042239,results/dbg0_clust40_steps16000_kmeans_act10_hTrue_frFalse,final_policy_return.json
random_policy,40,16000,kmeans,10,True,False,Returns,return,-558.006255788102,-308.34052015188337,711.0572385158055,-3410.043197056054,-706.6155089889829,-139.93949272425104,38.94020401545097,results/dbg0_clust40_steps16000_kmeans_act10_hTrue_frFalse,random_policy_return.json
final_policy,40,16000,kmeans,10,True,False,Steps,steps,881.74,1000.0,270.60042941577166,127.0,1000.0,1000.0,1000.0,results/dbg0_clust40_steps16000_kmeans_act10_hTrue_frFalse,final_policy_steps.json
random_policy,40,16000,kmeans,20,True,False,Steps,steps,348.74,219.5,275.10294873010724,113.0,170.5,396.75,1000.0,results/dbg0_clust40_steps16000_kmeans_act20_hTrue_frFalse,random_policy_steps.json
final_policy,40,16000,kmeans,20,True,False,Returns,return,-63.42688703060847,-55.93982496745837,68.1310228614606,-212.7329761178067,-107.95519323271886,-14.392812293948529,107.58874326660202,results/dbg0_clust40_steps16000_kmeans_act20_hTrue_frFalse,final_policy_return.json
random_policy,40,16000,kmeans,20,True,False,Returns,return,-416.1155412441332,-217.13771284194,506.9579547175019,-2194.5274782365996,-353.10445155646664,-123.1911755048228,-15.567743515605514,results/dbg0_clust40_steps16000_kmeans_act20_hTrue_frFalse,random_policy_return.json
final_policy,40,16000,kmeans,20,True,False,Steps,steps,932.14,1000.0,145.4735728577531,304.0,926.5,1000.0,1000.0,results/dbg0_clust40_steps16000_kmeans_act20_hTrue_frFalse,final_policy_steps.json
random_policy,10,16000,kmeans,20,True,False,Steps,steps,397.12,220.5,324.07651195358176,99.0,155.0,578.25,1000.0,results/dbg0_clust10_steps16000_kmeans_act20_hTrue_frFalse,random_policy_steps.json
final_policy,10,16000,kmeans,20,True,False,Returns,return,-35.32574636808938,-50.90567079315619,94.13146563212723,-183.86581285561064,-95.30510328398935,-15.08990054640908,233.84096150853873,results/dbg0_clust10_steps16000_kmeans_act20_hTrue_frFalse,final_policy_return.json
random_policy,10,16000,kmeans,20,True,False,Returns,return,-639.5003265440183,-360.12551772434495,780.574179926662,-3265.891489195547,-706.6304085263673,-155.50129299165187,20.356653730790285,results/dbg0_clust10_steps16000_kmeans_act20_hTrue_frFalse,random_policy_return.json
final_policy,10,16000,kmeans,20,True,False,Steps,steps,615.8,547.0,291.59019187894506,159.0,411.5,947.75,1000.0,results/dbg0_clust10_steps16000_kmeans_act20_hTrue_frFalse,final_policy_steps.json
random_policy,20,8000,kmeans,10,True,False,Steps,steps,386.8,229.0,324.92928461436037,100.0,165.25,487.75,1000.0,results/dbg0_clust20_steps8000_kmeans_act10_hTrue_frFalse,random_policy_steps.json
final_policy,20,8000,kmeans,10,True,False,Returns,return,19.84911195196124,-7.172298899757523,121.81134088157985,-208.10858271069907,-63.76022028761335,101.27983010428716,274.1106566452324,results/dbg0_clust20_steps8000_kmeans_act10_hTrue_frFalse,final_policy_return.json
random_policy,20,8000,kmeans,10,True,False,Returns,return,-495.7464988589669,-293.8921184621074,610.2814783482813,-2375.3879906858842,-463.29812228900386,-160.31390645558525,52.7603282935313,results/dbg0_clust20_steps8000_kmeans_act10_hTrue_frFalse,random_policy_return.json
final_policy,20,8000,kmeans,10,True,False,Steps,steps,805.02,977.5,243.89501757928554,264.0,615.5,1000.0,1000.0,results/dbg0_clust20_steps8000_kmeans_act10_hTrue_frFalse,final_policy_steps.json
random_policy,20,16000,kmeans,10,True,False,Steps,steps,395.22,207.0,325.6200417664736,104.0,152.25,520.75,1000.0,results/dbg0_clust20_steps16000_kmeans_act10_hTrue_frFalse,random_policy_steps.json
final_policy,20,16000,kmeans,10,True,False,Returns,return,6.752527176537,-14.712128100817992,131.13748568762375,-189.53463765648792,-102.04589536698506,118.89543010484442,252.09478789164203,results/dbg0_clust20_steps16000_kmeans_act10_hTrue_frFalse,final_policy_return.json
random_policy,20,16000,kmeans,10,True,False,Returns,return,-570.0959680318881,-269.9274120385762,745.5501896077944,-3281.6156939043044,-590.4140353828583,-119.03260068784309,28.839083744192322,results/dbg0_clust20_steps16000_kmeans_act10_hTrue_frFalse,random_policy_return.json
final_policy,20,16000,kmeans,10,True,False,Steps,steps,763.3,799.0,219.4620923986646,306.0,560.0,1000.0,1000.0,results/dbg0_clust20_steps16000_kmeans_act10_hTrue_frFalse,final_policy_steps.json
random_policy,40,8000,kmeans,10,True,False,Steps,steps,383.76,264.0,296.6028698445111,127.0,151.0,469.5,1000.0,results/dbg0_clust40_steps8000_kmeans_act10_hTrue_frFalse,random_policy_steps.json
final_policy,40,8000,kmeans,10,True,False,Returns,return,-155.18828185415717,-136.91771546386047,70.76580364806797,-316.68077788769585,-212.72046688383253,-99.27890012417346,-9.51557410591029,results/dbg0_clust40_steps8000_kmeans_act10_hTrue_frFalse,final_policy_return.json
random_policy,40,8000,kmeans,10,True,False,Returns,return,-535.6146478211416,-231.04966175561935,700.5859136412129,-3111.524400425633,-668.9746773113889,-122.49854698004543,58.68148588426871,results/dbg0_clust40_steps8000_kmeans_act10_hTrue_frFalse,random_policy_return.json
final_policy,40,8000,kmeans,10,True,False,Steps,steps,620.36,552.5,283.09339518964407,130.0,382.5,950.25,1000.0,results/dbg0_clust40_steps8000_kmeans_act10_hTrue_frFalse,final_policy_steps.json
random_policy,20,32000,kmeans,20,True,True,Steps,steps,331.66,212.0,285.24428898752734,103.0,152.0,330.25,1000.0,results/dbg0_clust20_steps32000_kmeans_act20_hTrue_frTrue,random_policy_steps.json
final_policy,20,32000,kmeans,20,True,True,Returns,return,-22.1402733154626,-42.3720787639173,101.65284314329831,-185.71268342587427,-78.08388182320877,-0.46498830805337477,276.6053314124404,results/dbg0_clust20_steps32000_kmeans_act20_hTrue_frTrue,final_policy_return.json
random_policy,20,32000,kmeans,20,True,True,Returns,return,-380.34344428389807,-195.0454557781958,639.0068761592916,-3135.2053580132406,-297.944645908539,-97.18701517851878,50.756610514799036,results/dbg0_clust20_steps32000_kmeans_act20_hTrue_frTrue,random_policy_return.json
final_policy,20,32000,kmeans,20,True,True,Steps,steps,324.48,277.0,191.99919166496508,111.0,178.5,399.75,1000.0,results/dbg0_clust20_steps32000_kmeans_act20_hTrue_frTrue,final_policy_steps.json
random_policy,80,8000,kmeans,20,True,False,Steps,steps,408.34,261.0,335.6484833870101,118.0,151.5,510.0,1000.0,results/dbg0_clust80_steps8000_kmeans_act20_hTrue_frFalse,random_policy_steps.json
final_policy,80,8000,kmeans,20,True,False,Returns,return,-135.56968297650232,-136.3174992646201,53.13976554276244,-254.69537345888864,-178.18488038672115,-92.15597378255269,-47.72593629649972,results/dbg0_clust80_steps8000_kmeans_act20_hTrue_frFalse,final_policy_return.json
random_policy,80,8000,kmeans,20,True,False,Returns,return,-610.9250149898553,-271.8550083506227,763.4398249630277,-3069.4794943364177,-734.4017894019963,-147.325511091292,-8.117570674592002,results/dbg0_clust80_steps8000_kmeans_act20_hTrue_frFalse,random_policy_return.json
final_policy,80,8000,kmeans,20,True,False,Steps,steps,605.7,574.5,302.871210252807,105.0,401.75,932.75,1000.0,results/dbg0_clust80_steps8000_kmeans_act20_hTrue_frFalse,final_policy_steps.json
random_policy,40,8000,kmeans,20,True,True,Steps,steps,422.66,238.5,324.6665741957431,101.0,154.25,693.0,1000.0,results/dbg0_clust40_steps8000_kmeans_act20_hTrue_frTrue,random_policy_steps.json
final_policy,40,8000,kmeans,20,True,True,Returns,return,-108.50501278307848,-118.56419055893326,76.7302320407465,-225.37041099735276,-148.89100966449584,-76.88388610189757,161.798268541975,results/dbg0_clust40_steps8000_kmeans_act20_hTrue_frTrue,final_policy_return.json
random_policy,40,8000,kmeans,20,True,True,Returns,return,-552.0671631397938,-339.7762740424881,621.2731687309763,-2927.5319414232895,-793.0074998339637,-123.55255134715594,35.981160542617744,results/dbg0_clust40_steps8000_kmeans_act20_hTrue_frTrue,random_policy_return.json
final_policy,40,8000,kmeans,20,True,True,Steps,steps,298.24,208.5,229.8805394112342,115.0,153.0,288.0,1000.0,results/dbg0_clust40_steps8000_kmeans_act20_hTrue_frTrue,final_policy_steps.json
random_policy,20,16000,kmeans,10,True,True,Steps,steps,384.42,275.0,292.12956645981586,120.0,172.5,457.25,1000.0,results/dbg0_clust20_steps16000_kmeans_act10_hTrue_frTrue,random_policy_steps.json
final_policy,20,16000,kmeans,10,True,True,Returns,return,-33.848171513858986,-44.23496147649489,76.5649412119246,-174.52095618294632,-74.28626050436311,-15.604877009666009,236.22661012466338,results/dbg0_clust20_steps16000_kmeans_act10_hTrue_frTrue,final_policy_return.json
random_policy,20,16000,kmeans,10,True,True,Returns,return,-487.3697851623806,-200.49725785870584,636.5916858044318,-2847.1491255967426,-581.210246575168,-102.76376591396931,9.937506952305966,results/dbg0_clust20_steps16000_kmeans_act10_hTrue_frTrue,random_policy_return.json
final_policy,20,16000,kmeans,10,True,True,Steps,steps,429.7,424.5,258.5051837004434,111.0,193.5,545.5,1000.0,results/dbg0_clust20_steps16000_kmeans_act10_hTrue_frTrue,final_policy_steps.json
random_policy,80,16000,kmeans,10,True,False,Steps,steps,356.68,201.0,279.8513491123457,99.0,150.75,506.75,1000.0,results/dbg0_clust80_steps16000_kmeans_act10_hTrue_frFalse,random_policy_steps.json
final_policy,80,16000,kmeans,10,True,False,Returns,return,-65.53878918014223,-61.84955059713086,43.557127470421186,-166.5753805448296,-88.65574634484908,-38.209981524334005,31.129287366029374,results/dbg0_clust80_steps16000_kmeans_act10_hTrue_frFalse,final_policy_return.json
random_policy,80,16000,kmeans,10,True,False,Returns,return,-448.71996457320523,-189.8684110179372,604.8868334762947,-2839.180271566861,-494.70617580927683,-114.49641643928106,-7.1415220695595565,results/dbg0_clust80_steps16000_kmeans_act10_hTrue_frFalse,random_policy_return.json
final_policy,80,16000,kmeans,10,True,False,Steps,steps,990.28,1000.0,68.03999999999999,514.0,1000.0,1000.0,1000.0,results/dbg0_clust80_steps16000_kmeans_act10_hTrue_frFalse,final_policy_steps.json
random_policy,20,8000,kmeans,20,True,False,Steps,steps,314.62,230.0,231.24047137125459,83.0,160.0,347.0,1000.0,results/dbg0_clust20_steps8000_kmeans_act20_hTrue_frFalse,random_policy_steps.json
final_policy,20,8000,kmeans,20,True,False,Returns,return,-54.90266877445178,-61.69164634830373,66.63326394376506,-235.11188486647978,-87.8743122861316,-16.16658600600896,112.62927729814504,results/dbg0_clust20_steps8000_kmeans_act20_hTrue_frFalse,final_policy_return.json
random_policy,20,8000,kmeans,20,True,False,Returns,return,-398.7934562075009,-281.4035308797912,449.3609512464307,-2027.8965772331205,-439.225925437085,-95.01782452276066,57.01379396764557,results/dbg0_clust20_steps8000_kmeans_act20_hTrue_frFalse,random_policy_return.json
final_policy,20,8000,kmeans,20,True,False,Steps,steps,878.32,1000.0,258.5883554996242,112.0,950.0,1000.0,1000.0,results/dbg0_clust20_steps8000_kmeans_act20_hTrue_frFalse,final_policy_steps.json
random_policy,40,8000,kmeans,20,True,False,Steps,steps,367.26,245.5,275.6241506109361,94.0,157.25,435.75,1000.0,results/dbg0_clust40_steps8000_kmeans_act20_hTrue_frFalse,random_policy_steps.json
final_policy,40,8000,kmeans,20,True,False,Returns,return,-80.6487797903976,-69.83903071775609,80.52605796989371,-260.4152471343401,-135.7047248933527,-34.194038423278464,236.6541963278446,results/dbg0_clust40_steps8000_kmeans_act20_hTrue_frFalse,final_policy_return.json
random_policy,40,8000,kmeans,20,True,False,Returns,return,-491.9955425127597,-277.4670643680633,614.2858916353173,-2856.6762034765848,-463.4741298224651,-117.21521438636843,3.8207139585632603,results/dbg0_clust40_steps8000_kmeans_act20_hTrue_frFalse,random_policy_return.json
final_policy,40,8000,kmeans,20,True,False,Steps,steps,880.56,1000.0,227.12297638063836,144.0,853.5,1000.0,1000.0,results/dbg0_clust40_steps8000_kmeans_act20_hTrue_frFalse,final_policy_steps.json
random_policy,80,32000,kmeans,20,True,True,Steps,steps,355.24,222.5,296.42048242319555,115.0,156.25,440.0,1000.0,results/dbg0_clust80_steps32000_kmeans_act20_hTrue_frTrue,random_policy_steps.json
final_policy,80,32000,kmeans,20,True,True,Returns,return,-159.53354468805665,-149.31194190506207,45.10680044833607,-275.54300361457786,-173.79343583964476,-133.6886125058426,-27.791444495228205,results/dbg0_clust80_steps32000_kmeans_act20_hTrue_frTrue,final_policy_return.json
random_policy,80,32000,kmeans,20,True,True,Returns,return,-358.5851856722836,-221.01780312992568,440.6221486466047,-2470.6818327190667,-426.3534212692102,-97.19974228907205,35.898356017403955,results/dbg0_clust80_steps32000_kmeans_act20_hTrue_frTrue,random_policy_return.json
final_policy,80,32000,kmeans,20,True,True,Steps,steps,208.9,179.0,99.41855963551274,100.0,139.0,239.75,631.0,results/dbg0_clust80_steps32000_kmeans_act20_hTrue_frTrue,final_policy_steps.json
random_policy,80,32000,kmeans,10,True,False,Steps,steps,416.46,216.5,346.51488914619523,97.0,146.0,694.75,1000.0,results/dbg0_clust80_steps32000_kmeans_act10_hTrue_frFalse,random_policy_steps.json
final_policy,80,32000,kmeans,10,True,False,Returns,return,-12.773513968354415,-36.035653257769894,75.0915826316539,-138.46244681850123,-55.35656023936921,11.80250202350799,214.93044169034954,results/dbg0_clust80_steps32000_kmeans_act10_hTrue_frFalse,final_policy_return.json
random_policy,80,32000,kmeans,10,True,False,Returns,return,-714.9816461036302,-251.7865632794984,957.5577968543126,-4108.631099680755,-1006.6017926747079,-97.90805123646291,52.800611342931404,results/dbg0_clust80_steps32000_kmeans_act10_hTrue_frFalse,random_policy_return.json
final_policy,80,32000,kmeans,10,True,False,Steps,steps,977.54,1000.0,112.69431396481369,217.0,1000.0,1000.0,1000.0,results/dbg0_clust80_steps32000_kmeans_act10_hTrue_frFalse,final_policy_steps.json
random_policy,80,16000,kmeans,10,True,True,Steps,steps,320.34,211.5,240.73525790793505,99.0,178.75,340.75,1000.0,results/dbg0_clust80_steps16000_kmeans_act10_hTrue_frTrue,random_policy_steps.json
final_policy,80,16000,kmeans,10,True,True,Returns,return,-9.707285758236466,-48.69686889443359,116.21310538883138,-181.7085626197097,-90.34818683981757,26.023277947438363,264.91491951036505,results/dbg0_clust80_steps16000_kmeans_act10_hTrue_frTrue,final_policy_return.json
random_policy,80,16000,kmeans,10,True,True,Returns,return,-335.0507594154455,-211.62782396386206,403.4142193722544,-2469.108684835379,-412.63156608005005,-89.94530978162227,5.7751909978187825,results/dbg0_clust80_steps16000_kmeans_act10_hTrue_frTrue,random_policy_return.json
final_policy,80,16000,kmeans,10,True,True,Steps,steps,667.52,723.0,314.0867548942489,114.0,476.75,966.0,1000.0,results/dbg0_clust80_steps16000_kmeans_act10_hTrue_frTrue,final_policy_steps.json
random_policy,10,16000,kmeans,20,True,True,Steps,steps,344.16,186.5,296.26315059419727,110.0,144.5,496.75,1000.0,results/dbg0_clust10_steps16000_kmeans_act20_hTrue_frTrue,random_policy_steps.json
final_policy,10,16000,kmeans,20,True,True,Returns,return,31.98798332677435,-11.422619718609056,116.15191486457313,-91.25409071767844,-53.63514461638566,113.61078131310506,276.86139673532915,results/dbg0_clust10_steps16000_kmeans_act20_hTrue_frTrue,final_policy_return.json
random_policy,10,16000,kmeans,20,True,True,Returns,return,-344.6530762241718,-170.3763059243015,450.07636270077256,-2133.605629058314,-373.93493768489503,-78.13199707490489,49.27310732542736,results/dbg0_clust10_steps16000_kmeans_act20_hTrue_frTrue,random_policy_return.json
